Pct Ivo Count for McCormick

 PCT     IVO      152      155 : RUNNINGTOTAL
0001 5119262       68       68       68 :       68
0001 5122418       73       73       73 :      141
0001         - Mt. Carmel     141 :      141 (        0 )

0002 5126609      119      119      119 :      119
0002 5130530      124      124      124 :      243
0002         - Monticello     243 :      243 (        0 )

0003 5105698      208      208      208 :      208
0003 5113119      215      215      215 :      423
0003 5128365      226      226      226 :      649
0003 5130227       59       59       59 :      708
0003 5130325       68       68       68 :      776
0003 5130430       22       22       22 :      798
0003           - Savannah     798 :      798 (        0 )

0004 5129509       47       47       47 :       47
0004 5130049       40       40       40 :       87
0004         - Willington      87 :       87 (        0 )

0006 5118877      133      133      133 :      133
0006 5125636      144      144      144 :      277
0006 5131350      141      141      141 :      418
0006    - McCormick No. 1     418 :      418 (        0 )

0008 5102655       99       99       99 :       99
0008 5135415       92       92       92 :      191
0008            - Bethany     191 :      191 (        0 )

0009 5111841      117      117      117 :      117
0009 5122988      109      109      109 :      226
0009 5124376      104      104      104 :      330
0009    - McCormick No. 2     330 :      330 (        0 )

0010 5108537      117      117      117 :      117
0010 5127330      117      117      117 :      234
0010 5138574      126      126      126 :      360
0010        - Plum Branch     360 :      360 (        0 )

0013 5124081       49       49       49 :       49
0013 5138430       59       59       59 :      108
0013         - Parksville     108 :      108 (        0 )

0014 5121310       78       78       78 :       78
0014 5127556       92       92       92 :      170
0014              - Modoc     170 :      170 (        0 )

0015 5111463      129      129      129 :      129
0015 5124317      131      131      131 :      260
0015       - Clark's Hill     260 :      260 (        0 )

0750 5118412       12       12       12 :       12
0750 5121678      333      333      333 :      345
0750 5125821      425      425      422 :      767
0750 5136122      389      389      389 :     1156
0750           - Absentee    1156 :     1156 (        0 )

0800            Emergency       0 :        0 (        0 )

0850 5125821      425      425        3 :        3
0850           - Failsafe       3 :        3 (        0 )

0900          Provisional       0 :        0 (        0 )

0950 Failsafe Provisional       0 :        0 (        0 )

Total number of pcts: 16

