Results for McCormick


     5 (NO_VOTES_CAST)                     (NO_VOTES_CAST)                    

  1949 AMENDMENT_1                         No                                 
  2059 AMENDMENT_1                         Yes                                

  2232 Attorney_General                    Alan_Wilson                        
  1956 Attorney_General                    Constance_Anastopoulo              

    32 CON0003_U.S._House_of_Representatives Dave_Moore                         
  2250 CON0003_U.S._House_of_Representatives Jeff_Duncan                        
  1926 CON0003_U.S._House_of_Representatives Mary_Geren                         

  1316 COUNTY_SUNDAY_ALCOHOL_SALE-OFF-PREMISES No,_Opposed_to_the_question        
  2771 COUNTY_SUNDAY_ALCOHOL_SALE-OFF-PREMISES Yes,_In_favor_of_the_question      

  1253 COUNTY_SUNDAY_ALCOHOL_SALE-ON-PREMISES No,_Opposed_to_the_question        
  2835 COUNTY_SUNDAY_ALCOHOL_SALE-ON-PREMISES Yes,_In_favor_of_the_question      

   661 CYCL002_County_Council_District_2   Bernie_Hamby                       
     1 CYCL002_County_Council_District_2   W/I_BUGS_BUNNY                     
     1 CYCL002_County_Council_District_2   W/I_CHARLES_STEPHENS               
     1 CYCL002_County_Council_District_2   W/I_CHRIS_MOORE                    
     1 CYCL002_County_Council_District_2   W/I_CURTIS_SIBERT                  
     1 CYCL002_County_Council_District_2   W/I_DALE_HAMMOND                   
     1 CYCL002_County_Council_District_2   W/I_DAYLE_HAMMOBD                  
     2 CYCL002_County_Council_District_2   W/I_DAYLE_HAMMOND                  
     1 CYCL002_County_Council_District_2   W/I_DONALD_DUCK                    
     3 CYCL002_County_Council_District_2   W/I_DUANE_HAMMOND                  
     1 CYCL002_County_Council_District_2   W/I_GEORGE_SELFRIDGE               
     1 CYCL002_County_Council_District_2   W/I_HAMMOND                        
     1 CYCL002_County_Council_District_2   W/I_LAVERN_KIRVY                   
     2 CYCL002_County_Council_District_2   W/I_MICKEY_MOUSE                   
     1 CYCL002_County_Council_District_2   W/I_MICKY-MOUSE                    
     1 CYCL002_County_Council_District_2   W/I_NO_HAMBY                       
     1 CYCL002_County_Council_District_2   W/I_PETER_WOOD                     
     1 CYCL002_County_Council_District_2   W/I_ROB                            
     1 CYCL002_County_Council_District_2   W/I_TERRY_PATRICK                  
     1 CYCL002_County_Council_District_2   W/I_TINA_MARIE_ANDERSON            
     1 CYCL002_County_Council_District_2   W/I_TODD_WEAVER                    
     1 CYCL002_County_Council_District_2   W/I_VERN_KIRBY                     
     1 CYCL002_County_Council_District_2   W/I_WAYMON_STOREY_JR               

   570 CYCL005_County_Council_District_5   Earl_R_Coleman                     
     1 CYCL005_County_Council_District_5   W/I_CHARLES_KEY                    
     1 CYCL005_County_Council_District_5   W/I_D_DUCK                         
     1 CYCL005_County_Council_District_5   W/I_JOE                            
     1 CYCL005_County_Council_District_5   W/I_KEVIN_JONES                    

   322 Commissioner_of_Agriculture         Chris_Nelums                       
   386 Commissioner_of_Agriculture         David_Edmond                       
  2312 Commissioner_of_Agriculture         Hugh_Weathers                      
     1 Commissioner_of_Agriculture         W/I                                
     1 Commissioner_of_Agriculture         W/I_DONALD_MOSS                    
     1 Commissioner_of_Agriculture         W/I_JAMILA_DAVIS                   
     1 Commissioner_of_Agriculture         W/I_ME                             

